id,judul,foto,penerbit,isbn,tempat_terbit
,Manajemen Informasi;pengantar ke komputer,1.jpg,Rineka Cipta,979-518-104-1,Jakarta
,Buku pintar penanganan jaringan komputer,2.jpg,Wahana Komputer,979-533-716-5,Semarang
,Visi Komputer Untuk Sistem Robotik ;sebuah pengantar,3.jpg,Universitas Indonesia,979-456-135-5,Jakarta
,Evaluasi paket sistemaplikasi,4.jpg,Andi,978-979-291-305-7,Yogyakarta
,Membangun aplikasi handphone dengan Fbus dan Visual Basic,5.png,Andi,979-731-075-2,Yogyakarta
,Belajar sendiri pemprograman pascal turbo pascal 7.0,6.jpg,Graha ilmu,979-3289-01-5,Yogyakarta
,Sistem Operasi,7.jpg,Graha ilmu,979-756-052-2,Yogyakarta
,Membangun aplikasi menggunakan QT Desingner dengan Database Postgresql/Mysql,8.jpg,Andi,979-763-145-1,Yogyakarta
,Membuat aplikasi database berbasis WEB dengan PHP dan MY SQL,9.jpg,Andi dengan Madcoms,979-731-643-2,Yogyakarta
,Dasar Aplikasi Database MYSQL Delphi,10.jpg,Andi,979-763-186-9,Yogyakarta
,Aplikasi Statistik Praktis dengan SPSS.10 for windows,11.jpg,Graha ilmu,979-3289-34-1,Yogyakarta
,Concepts Of Oriented Programming,12.jpg,Mc Graw Hill Higher,0-07-059177-6,USA
,Belajar Merakit Komputer,13.jpg,Informatika Bandung,979-3338-07-5,Bandung
,Konsep dan Aplikasi Pemrograman CLIENT SERVER dan Sistim Terdistribusi,14.jpg,Andi Offset,979-763-146-x,Yogyakarta
,PROGRAM KOMPUTER UNTUK ANALISIS LALULINTAS,15.jpg,beta offset,979-8541-32-4,Yogyakarta
,KONSEP DASAR SISTEM PAKAR,16.jpg,Gramedia Pustaka Utama,979-731-729-3,Yogyakarta
,Programming in visual basic Net,17.jpg,McGraw-Hill,0-07-245903-4,Amerika
,Programming In C# . Net,18.jpeg,Mc Graw Hill Higher,0-07-285232-1,Amerika serikat
,Pembuatan program sistim informasi akademik berbasis ASP,,Salemba Medika,979-9550-26-2,Yogyakarta
,belajar Database dengan ASP(membuat aplikasi portal berita),20.jpg,Andi Offset,979-731-225-9,Yogyakarta
,SISTEM BASIS DATA KONSEP DAN PENDEKATAN PRAKTIKUM,21.jpg,Graha ilmu,979-3289-65-1,Yogyakarta
,MEMBANGUN APLIKASI MENGGUNAKAN QT DESIGNER DENGAN DATABASE POSTGRESQL/MYSQL,22.jpg,Gramedia Pustaka Utama,979-763-145-1,Yogyakarta
,teknologi pemrograman mobile commerce,23.jpg,Informatika Bandung,979-3338-08-3,Bandung
,"Auditing sistem informasi lanjutan: standar,panduan, dn prosedur audit SI dari ISACA",24.jpg,Mitra Wacana Media,978-979-1092-24-1,Jakarta
,Audit sistem informasi+ pendekatan CobIT,25.jpg,Mitra Wacana Media,978-979-1092-11-1,Jakarta
,Cooperative learning teori dan aplikasi pakem,26.jpg,Pustaka pelajar,978-602-8479-10-3,Yogyakarta
,The shortcut of matlab programming,27.jpg,Informatika Bandung,979-3338-77-6,Bandung
,PHP profesional pengembangan data array dalam aplikasi web,,Andi Offset,978-979-29-0053-8,Surabaya
,Metode numerik ; dilengkapai dengan program komputer,29.jpg,beta offset,979-8541-00-6,Yogyakarta
,Bikin website super keren PHP dengan jquery,30.jpg,Lokomedia,978-979-1758-67-3,Yogyakarta
,Cepat kuasai PHP dan Mysql,31.jpg,Andi,978-979-29-1664-5,Yogyakarta
,Kumpulan aplikasi PHP untuk pemula,32.jpg,Elex Media Komputindo,978-602-02-5872-0,Jakarta
,Membangun website dinamis interaktif dengan php-mysql = windows dan linux,33.jpg,Eska Media,979-3738-25-1,Jakarta
,"Dasar pemrograman Web PHP-mysol SQL dengan Dreamwear, studi kaus : Sistem penerimaan siswa baru = PSB online",34.jpg,Gava Media,978-602-7869-11-0,Yogyakarta
,Mengenal dasar-dasar pemrograman android,35.jpg,Elex Media Komputindo,978-602-02-6975-7,Jakarta
,Aplikasi database dengan dreamweaver dan PHP-Mysql,36.jpeg,Andi,978-979-29-2685-9,Yogyakarta
,Aplikasi toko bangunan on line dengan PHP dan Myql,37.jpg,Maxikom,978-602-7680-62-3,Palembang
,Bikin sendiri toko online dinamis dengan bootstrap dan php,38.jpg,Medikom,578-979-877-461-4,Yogyakarta
,Easy and Simple Web Programming,39.jpg,PT. Elex Media Komputindo,978-602-02-8676-1,Jakarta
,Ilmu sosial dasar,,Rineka Cipta,978-979-518-187-3,Jakarta
,Technology and enterprese development : Ghana under structural adjustment,,Macmillan,0-333-64849-8,London
,business portfolio management,,Erlangga,979-688-210-8,Jakarta
,Teknologi di nusantara : 40 abad hambatan inovasi,,Salemba Medika,978-979-9549-28-9,Jakarta
,Metode penelitian sosial,,Gramedia Pustaka Utama,979-511-454-9,Jakarta
,Conceptual design of distillation systems,,Mc Graw Hill Higher,0-07-240296-2,New York
,Kosa semiotika,,LKis,979-8966-45-7,Yogyakarta
,Ilmu sosial dasar,,Bumi aksara,979-526-026-X,Jakarta
,Apresiasi perkembangan dan penerapan teknologi,,LIPI,979-8958-41-1,Jakarta
,The complete technical illustrator,,Mc Graw Hill Higher,0-07-252996-2,Bandung
,Kajian Morfologi,,PT. Refika Aditama,979-1073-50-3,Bandung
,Makna dalam wacana,,CV. Yrama Widya,978-979-543-527-3,Bandung
,Ilmu menggambar bangunan mesin,,Pradnya Paramita,979-408-01208,Jakarta
,Dasar-dasar (pengantar Studi) Administrasi Niaga,,Ghalia Indonesia,979-450-203-0,Jakarta Timur
,"Bahasa, konteks, dan teks",,Gadjah Mada University Press,979-420-236-3,Yogyakarta
,Pengantar Bisnis,,Alfabeta,979-8433-00-9,Bandung
,Lukisan kejuruteraan,,Kementrian Pendidikan Malaysia,983-62-1818-1,Kualalumpur
,Gambar teknik,,Erlangga,979-688-121-7,Jakarta
,Kristal-kristal ilmu bahasa,,Airlangga University Press,979-807-79-4,Surabaya
,Isu Linguistik pengajaran bahasa dan sastra,,Airlangga University Press,979-807-50-6,Surabaya
,Isalah Berlin,,Harper Collins,0-00-255582-4,Leiden
,pedoman langkah awal menjalankan usaha,,Gramedia Pustaka Utama,0-936894-57-1,Jakarta
,business forecasting,,BPFE,979-503-206-2,Yogyakarta
,Semantik 2,,PT. Refika Anggota IKAPI,979-8020-74-X,Bandung
,pengantar bisnis,,Galang Press,979-8433-00-9,Bandung
,Psikolinguistik,,Gramedia Pustaka Utama,979-3304-49-9,Bandung
,Dasar-Dasar Kebijaksanaan Keuangan Negara,,Rineka Cipta,979-518-594-2,Jakarta
,"Bahasa, sastra dan sejarah",,Djambatan,979-428-029 1,Jakarta
,Peramalan Bisnis,,BPFE,979-503-343-X,Jakarta
,Metode penelitian bisnis,,Gramedia Pustaka Utama,979-8433-36-9,Bandung
,Cara Praktis menguasai teori menggambar teknik,,Gramedia Pustaka Utama,978-979-8433-28-3,Bandung
,Gambar denah dan potongan,,Erlangga,979-411-730-7,Jakarta
,Great Myths of Business : mitos akbar bisnis,,Gramedia Pustaka Utama,979-20-0715-6,Jakarta
,"Ledakan Abad Milenium : Membangun Kekayaan dan Gaya Hidup yang anda inginkan, pada ledakan ekonomi terbesar dalam sejarah",,Prestasi Pustaka,979-96033-0-7,Jakarta
,Analisis Bahasa,,Erlangga,55-01-001-1,Jakarta
,Etika Bisnis Tuntutan dan Relevansinya,,Kanisius,979-672-094-9,Yogyakarta
,Kesadaran Bahasa Kritis,,Longman,979-8579-33-n,Semarang
,Business plan teknik membuat perencanaan bisnis & analisis kasus,,Gramedia Pustaka Utama,979-655-657-x,Jakarta
,Etika Dunia Bisnis,,Kanisius,979-497-410-2,Yogyakarta
,B020356 Tubuh & Basaha,,Galang Press,979-9341-95-7,Yogyakarta
,Large Gardens And Parks,,Granada Publishing,0-246-11402-9,London
,Studi Kelayakan Bisnis,,PT Rineka Cipta,979-518-748-1,Jakarta
,Kewirausahaan,,Alfabeta,979-8433-35-0,Bandung
,Rancangan Visual Lansekap Jalan,,PT Bumi Aksara,979-526-113-4,Jakarta
,Pedoman langkah awal menjalankan usaha,,Erlangga,54-01-059-2,Jakarta
,Binis,,Prenhallindo,979-683-240-2,Jakartax
,Pengantar Bisnis Jilid 1,,Erlangga,979-688-293-0,Jakarta
,Kawasan Industri Berwawasan Lingkungan,,Rekayasa Sains,979-97478-6-4,Bandung
,Marketing strategy : a decision-focused approach 5e,,McGraw-Hill,0-07-111674-5,New York
,Analisis Desain,,Andi,979-731-560-6,Yogyakarta
,Studi kelayakan bisnis,,Rineka Cipta,979-518-748-1,Jakarta
,Butir-Butir Tata Lingkungan,,PT Rineka Cipta,979-518-202-1,Jakarta
